TAXA,h-0,h-9,h-24,h-48
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Halothece,0.000736,0.000040,0.000038,0.000065
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Rippkaea,0.000368,0.000026,0.000025,0.000195
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae|g__Chondrocystis,0.000921,0.000198,0.000114,0.000108
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae|g__Geminocystis,0.002946,0.000265,0.000316,0.000629
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae|g__Gloeocapsa,0.000736,0.000093,0.000063,0.000043
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Cyanothrichaceae|g__Johannesbaptistia,0,0.000013,0,0
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Geminocystaceae|g__Cyanobacterium,0.001841,0.000093,0.000101,0.000434
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Geminocystaceae|g__Geminobacterium,0,0,0,0.000022
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Microcystaceae|g__Microcystis,0.001841,0.000331,0.000063,0.000239
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae|g__Chroococcidiopsis,0.001473,0.000198,0.000227,0.000304
k__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales|f__Gloeomargaritaceae|g__Gloeomargarita,0.000552,0,0.000038,0.000043
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Anabaenopsis,0.000552,0.000040,0.000025,0.000130
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Aphanizomenon,0.000921,0.000053,0.000038,0.000174
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Cylindrospermopsis,0,0.000013,0.000038,0.000022
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Dolichospermum,0.000736,0.000185,0.000051,0.000217
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Nodularia,0.002025,0.000093,0.000038,0.000282
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Raphidiopsis,0.000184,0,0.000013,0.000022
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae|g__Sphaerospermopsis,0.001289,0.000093,0.000063,0.000174
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae|g__Calothrix,0.010311,0.001415,0.000795,0.001779
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Chlorogloeopsidaceae|g__Chlorogloeopsis,0,0.000040,0.000063,0
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae|g__Fischerella,0.002209,0.000212,0.000139,0.000260
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Heteroscytonemataceae|g__Heteroscytonema,0,0.000013,0,0
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Anabaena,0.001289,0.000119,0.000164,0.000195
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Cylindrospermum,0.001657,0.000198,0.000088,0.000412
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Desikacharya,0,0,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc,0.016755,0.001389,0.000934,0.002624
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Richelia,0.000552,0.000079,0.000063,0.000174
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Trichormus,0.000736,0.000093,0,0.000065
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Wollea,0,0.000013,0,0
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Microchaete,0.000368,0.000026,0.000063,0.000065
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae|g__Rivularia,0.001105,0.000198,0.000139,0.000174
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Brasilonema,0.003130,0.000132,0.000189,0.000239
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae|g__Scytonema,0.002025,0.000119,0.000126,0.000434
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Stigonemataceae|g__Stigonema,0,0,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Tolypothrichaceae|g__Tolypothrix,0.000368,0.000106,0.000063,0.000087
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae|g__Coleofasciculus,0,0,0,0.000022
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae|g__Geitlerinema,0.000184,0.000159,0.000076,0.000195
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae|g__Wilmottia,0,0,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Cyanothecaceae|g__Cyanothece,0.001289,0.000079,0.000038,0.000174
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Gomontiellaceae|g__Crinalium,0.000921,0.000013,0.000063,0.000087
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Arthrospira,0.001105,0.000079,0,0.000195
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Limnospira,0.000184,0.000172,0.000177,0.000174
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Microcoleus,0.000184,0.000066,0.000051,0.000022
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Oxynema,0.001105,0.000040,0.000088,0.000195
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Planktothrix,0.001473,0.000437,0.000189,0.000260
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Symploca,0.000184,0.000026,0,0
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae|g__Trichodesmium,0.000921,0.000106,0.000063,0.000065
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae|g__Limnoraphis,0,0,0,0.000022
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae|g__Lyngbya,0,0,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae|g__Moorea,0.001841,0.000251,0.000227,0.000499
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae|g__Oscillatoria,0.002025,0.000238,0.000278,0.000369
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae|g__Phormidium,0,0.000013,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|g__Koinonema,0.001657,0.000119,0.000038,0.000195
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Dermocarpellaceae|g__Stanieria,0.001105,0.000317,0.000177,0.000195
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Hyellaceae|g__Hyella,0,0.000013,0,0.000022
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Hyellaceae|g__Pleurocapsa,0.000552,0.000463,0.000303,0.000629
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Xenococcaceae|g__Xenococcus,0.000184,0,0,0
k__Bacteria|p__Cyanobacteria|o__Spirulinales|f__Spirulinaceae|g__Spirulina,0,0,0.000013,0
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae|g__Acaryochloris,0.002025,0.000238,0.000240,0.000304
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Chamaesiphonaceae|g__Chamaesiphon,0.001105,0.000079,0.000051,0.000065
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Leptolyngbyaceae|g__Leptolyngbya,0.008838,0.000635,0.000657,0.001063
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Merismopediaceae|g__Synechocystis,0.000921,0.000119,0.000126,0.000195
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Oculatellaceae|g__Thermoleptolyngbya,0.000368,0.000040,0.000038,0.000043
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochlorococcus,0.003314,0.000503,0.000265,0.000716
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochloraceae|g__Prochloron,0.000184,0,0,0
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochlorotrichaceae|g__Halomicronema,0.000184,0.000119,0.000038,0.000130
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Pseudanabaenaceae|g__Komvophoron,0.000184,0,0,0
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Pseudanabaenaceae|g__Pseudanabaena,0.001105,0.000238,0.000202,0.000174
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Pseudanabaenaceae|g__Toxifilum,0.000184,0.000013,0.000025,0
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Cyanobium,0.006997,0.000185,0.000139,0.000282
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Dactylococcopsis,0,0.000159,0.000088,0.000087
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Synechococcus,0.033326,0.002672,0.002197,0.003015
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae|g__Thermosynechococcus,0.000921,0.000132,0.000038,0.000217
k__Bacteria|p__Cyanobacteria|o__Synechococcales|g__Jaaginema,0,0,0.000013,0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio,0.000184,0.000013,0.000025,0.000087
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter,0.000736,0.000040,0,0.000087
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio,0.000552,0.000040,0.000013,0.000174
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes,0.000552,0.000079,0.000038,0
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio,0.000368,0.000013,0.000038,0
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,0.257582,0.021972,0.013119,0.020584
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus,0.002209,0.000079,0.000038,0.000022
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus,0.001841,0.000344,0.000240,0.000152
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus,0.002578,0.000132,0.000063,0.000174
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus,0.004235,0.000516,0.000404,0.000564
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales|f__Trueperaceae|g__Truepera,0.001841,0.000040,0.000038,0.000043
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus,0.000368,0.000093,0.000051,0.000043
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium,0.000184,0,0,0
k__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium,0.000552,0.000040,0,0.000022
k__Bacteria|p__Fibrobacteres|c__Chitinispirillia|o__Chitinispirillales|f__Chitinispirillaceae|g__Chitinispirillum,0,0,0.000013,0.000022
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter,0.001473,0.000132,0.000114,0.000239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus,0.003682,0.000767,0.000745,0.000846
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Effusibacillus,0.000184,0.000278,0.000177,0.000390
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Kyrpidia,0.000921,0.000172,0.000227,0.000217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Tumebacillus,0.001105,0.000265,0.000189,0.000282
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Aeribacillus,0.034983,0.002050,0.002210,0.001865
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Alkalihalobacillus,0.091507,0.026351,0.017526,0.022991
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Amphibacillus,0.001473,0.001495,0.001326,0.001410
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anaerobacillus,0.018596,0.006985,0.004836,0.006485
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Anoxybacillus,8.170465,0.402953,0.471514,0.354952
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Aquibacillus,0,0,0.000013,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,0.620113,0.211841,0.173880,0.447480
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus,0.023751,0.006336,0.003851,0.006312
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Cytobacillus,0.035535,0.010199,0.007841,0.009088
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Ectobacillus,0,0.000026,0.000013,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Evansella,0.004051,0.001640,0.001338,0.001410
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus,0.006997,0.001706,0.001465,0.001063
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Geobacillus,0.924830,0.048257,0.053777,0.040386
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Gracilibacillus,0.002762,0.001706,0.000947,0.001518
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Halobacillus,0.010311,0.001614,0.001187,0.001670
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia,0.050080,0.012091,0.009104,0.011170
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Hydrogenibacillus,0.000552,0.000079,0.000038,0.000087
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lederbergia,0.005708,0.001667,0.001338,0.001562
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lentibacillus,0.005339,0.001773,0.000985,0.001670
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus,0.077146,0.030108,0.027223,0.028045
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Margalitia,0,0,0,0.000022
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Mesobacillus,0.007181,0.001892,0.001326,0.001757
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Metabacillus,0.023015,0.004709,0.003649,0.004880
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Neobacillus,1.590972,0.085562,0.095608,0.075502
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia,0.091139,0.044289,0.020215,0.037198
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Oceanobacillus,0.011415,0.003545,0.002828,0.003622
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Parageobacillus,0.056709,0.003069,0.003788,0.002950
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Paraliobacillus,0.002394,0.000886,0.000694,0.000889
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pelagirhabdus,0,0,0.000013,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Peribacillus,0.047503,0.012924,0.008725,0.012450
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pontibacillus,0.004051,0.001931,0.001667,0.001974
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Pradoshia,0.006812,0.000979,0.000682,0.000759
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Priestia,12.429137,4.113461,3.113308,3.829683
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus,0.013625,0.004260,0.003674,0.004620
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Radiobacillus,0.003130,0.000794,0.000846,0.000651
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Robertmurraya,0,0.000013,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Rossellomorea,0.018228,0.006059,0.003737,0.005249
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salicibibacter,0.007181,0.001349,0.001124,0.001193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salimicrobium,0.004051,0.000595,0.000568,0.000586
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Sediminibacillus,0.002209,0.000331,0.000202,0.000239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Sutcliffiella,0.014914,0.002923,0.002184,0.002798
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Terribacillus,0.002762,0.004921,0.002601,0.001150
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Thalassobacillus,0.000184,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Virgibacillus,0.038481,0.011575,0.008498,0.011214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia,0.017491,0.017938,0.016566,0.018024
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Brochothrix,0.002025,0.002103,0.001591,0.001930
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria,0.022094,0.046670,0.032614,0.043076
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus,0.002394,0.000463,0.000366,0.000542
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus,0.020805,0.003929,0.003068,0.004099
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Cohnella,0.008838,0.000939,0.000833,0.001063
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus,0.093164,0.027370,0.021503,0.028717
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Saccharibacillus,0.002762,0.001111,0.000328,0.000412
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus,0.000921,0.000344,0.000164,0.000217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Pasteuriaceae|g__Pasteuria,0,0.000026,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Bhargavaea,0,0.000013,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Caryophanon,0.000184,0,0.000025,0.000022
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Jeotgalibacillus,0.610907,0.019115,0.007273,0.012081
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia,0.052106,0.774170,1.266558,0.510033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Metalysinibacillus,0.001289,0.001971,0.001818,0.001909
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina,0.003866,0.002540,0.002020,0.002603
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus,0.032037,0.012527,0.011566,0.010888
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planomicrobium,0.006628,0.001429,0.001351,0.001301
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus,0.001105,0.000529,0.000593,0.000521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Savagea,0.000184,0.000013,0.000013,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus,0.006812,0.004670,0.004811,0.004013
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina,0.020621,0.010649,0.009003,0.010563
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Ureibacillus,0.057997,0.004842,0.004823,0.004468
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Viridibacillus,0.003498,0.001296,0.001035,0.001084
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|g__Sporolactobacillus,0.001105,0.000556,0.000480,0.000369
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Abyssicoccus,0.000552,0.000582,0.000341,0.000564
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus,0.003314,0.000952,0.000707,0.000846
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Macrococcus,0.011599,0.046802,0.034193,0.157055
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus,0.023199,0.379869,0.155976,0.102202
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Nosocomiicoccus,0.002209,0.001640,0.001174,0.001323
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus,0.001841,0.000291,0.000316,0.000434
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,0.138642,0.150315,0.146493,0.091140
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Hazenella,0.000184,0.000013,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Kroppenstedtia,0.000736,0.000489,0.000341,0.000434
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Laceyella,0.000921,0.000463,0.000366,0.000325
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus,0.001105,0.000331,0.000215,0.000304
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Polycladomyces,0.000736,0.000185,0.000051,0.000087
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Staphylospora,0.000921,0.000119,0.000177,0.000152
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Thermoactinomyces,0.000368,0.000979,0.000467,0.000672
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Thermoflavimicrobium,0,0.000013,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium,12.697399,4.536428,4.652183,3.659614
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella,0.008469,0.002566,0.001995,0.002256
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia,0.002578,0.001706,0.001212,0.001648
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus,1.054818,1.647686,2.268426,3.836190
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Suicoccus,0.002762,0.003691,0.003081,0.003644
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium,0.008654,0.038468,0.027438,0.036309
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Dolosigranulum,0.012520,0.003201,0.002551,0.003015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella,0,0.000040,0.000076,0.000195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Jeotgalibaca,0.016202,0.053985,0.049812,0.061599
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Marinilactibacillus,0.002025,0.003664,0.003258,0.004642
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Catellicoccus,0,0,0.000013,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,0.257398,1.508496,1.214007,1.497521
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Melissococcus,0.000921,0.008863,0.006099,0.007570
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus,0.013441,0.067968,0.052261,0.066631
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus,0.015098,0.061658,0.042804,0.056437
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Acetilactobacillus,0.000368,0.000648,0.000442,0.000434
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Amylolactobacillus,0.001289,0.013930,0.013927,0.013643
